scene,text
s1-3,妳怎麼就這樣走了，我們的時間都不夠
s1-4,我去看看他吧
s1-6,唉你現在一定很難過，Oto真的是一個很好的人
s1-8,不要講得一副你很瞭解她一樣
s1-9,你根本就不知道她對我有多重要
s1-11,他太受傷了我不知道怎麼安慰他
s1-12,憤怒是人類面對悲傷的應急反應，他們通常需要時間處理他們的情緒
s1-17,聊聊？
s1-18,你想怎樣，一切都結束了
s1-19 ,都是你們這些破研究害的
s1-20,我懂，我根本無法想像這種感覺，好不公平
s1-21,所以我們到底為什麼還要去研討會，她都已經不在了
s1-22,就是因為她不在了，我們才更要讓大家知道她所做的傑出工作
s2-1,先生早安，我是您的司機，我來載您去研討會，Koji先生已經在車上等了
s2-2,快去快回吧
s2-3,你還好嗎先生，你看起來不太開心
s2-4,安靜，開你的車
s2-5,不好意思，不過我多嘴一句，你可以找我們聊聊的
s2-6,我們可以一起度過這段辛苦的時光，不用自己強撐
s2-7,我不行了，我真是受夠你們了
s2-8,我看得出來你很痛苦，我們談談吧
s2-9,我從小就自己生活，只能靠開車養活自己，但由於人工智慧的進步，我面臨著工作不穩定的問題
s2-10,但你知道嗎？ 我學會了擁抱變化，與不確定性和平相處。 這是前進的唯一途徑。
s3-5,我對之前發生的事情感到抱歉。 我感覺我現在不是我自己了
s3-6,沒關係。 我懂的
s3-8,你知道嗎， 我很嫉妒你和Oto一起度過的時光。 我知道這樣想不對，但我覺得工作把她從我身邊搶走了。
s3-9,我知道你有這種感覺，但這不是真的。 Oto愛你勝過世界上的一切。 她對自己的工作充滿熱情，她想改變世界。
s3-10,我知道，但我總還覺得我錯過了什麼。 好像我跟她在一起的時間還不夠
s3-11,我無法想像你正在經歷什麼。 但我想讓你知道我在這裡等你。 如果你需要說話，我會聽
s3-13,別提我了，說說你吧
s3-14,嗯，我來自日本。 我來到美國史丹佛大學學習人工智慧。 畢業後，我在 Next Infinity Lab 找到了一份工作，在那裡我認識了 Oto
s3-16,她是怎麼樣的人？
s3-17,她才華洋溢、善良、熱情， 她總是讓身邊的人如沐春風
s3-18,我很想她
s3-19,我也是
s3-21,其實我也蠻慶幸你出現在她的生活中的
s3-22,我也是
s4-1,這邊請
s4-6,會議廳擠滿了人，大家都想了解Oto和Koji的機器人ANIA
s4-7,大家好我是Koji，今天在這裡和大家分享我已故同事Oto的開創性研究
s4-9,觀眾仔細聆聽
s4-11,Oto是一位傑出的科學家，也是負責發展人工智慧的倡導者，她認為人工智慧會改變為來，但我們要明智地使用它
s4-14,我們研究的重點，是讓機器人更像人類，更有同情心
s4-15,仿生機器人可以徹底改變我們與人工智慧互動的方式，從各方面改善我們的生活
s4-18,嘿Koji謝謝你讓大家看到Oto的作品，她一定會非常自豪
s4-19 ,不客氣，我們實驗室都很以她為榮，能認識她真好
s4-20,我也這麼覺得
s5-4,你一天到晚都在工作，你從來沒有時間陪我
s5-5,我工作是為了我們， 為了我們的未來
s5-6,可是我不關心未來。 我現在需要你
s5-7,但我需要做這個工作
s5-9,我覺得你比較愛工作，根本不愛我
s5-10,沒有
s5-12,反正我就這樣覺得，我已經厭倦了
s5-13,不要，很痛！
s5-15,天哪，Oto
s5-16,天啊，我不是故意的
s5-17,我愛你，Oto
s5-18,天啊，我做了什麼？
s5-20,是你殺了她
s5-21,我很抱歉
s5-22,你根本就不應該出現
s5-23,算了，我不能這樣做
