scene,text
s1-3,Why did you have to leave me like this? We never had enough time…
s1-4,I should go check on him.
s1-6,I can't imagine how you must be feeling. She was an incredible person. 
s1-8,Don't pretend like you understand
s1-9,You don't even know what she meant to me.
s1-11,He's so angry and hurt. I don't know how to help him.
s1-12,Anger is a natural response to grief. He may need time to process his emotions. Let's give him some space.
s1-17,Mind if I join you? 
s1-18,Do what you want. It won't change a damn thing.
s1-19 ,"This is all because of that stupid robot, it’s all your fault."
s1-20,"I know, I can't imagine what you're going through. It's all just so unfair."
s1-21,"What's the point of this conference anyway? Why are we celebrating her achievements now, when it's too late?"
s1-22,"I understand your anger. The conference is meant to honor her intelligence and the remarkable work she did, even if it can't bring her back."
s2-1,"Good morning, sir. I'm your driver for today, and I've already picked up your companions, the AI bot and the co-worker. They're waiting in the car"
s2-2,Just get this over with.
s2-3,"Is everything okay, sir? You seem quite upset."
s2-4,Just drive and stay quiet!
s2-5,"Hey, we know this has been tough, but we're here for you"
s2-6,We want to support you through this difficult time
s2-7,I can't take it anymore! I can't take any of you!
s2-8,I can see that you're in pain. It's okay. Let's talk about what's bothering you
s2-9,"I've had my share of struggles too. My relationship isn't what it used to be, and I've faced job insecurity due to AI advancements"
s2-10,"But you know what? I've learned to embrace change, to make peace with uncertainty. It's the only way to move forward."
s3-5,I'm sorry about what happened earlier. I'm not myself right now.
s3-6,It's okay. I understand.
s3-8," I've been feeling so much anger and resentment lately. I'm jealous of the time you spent with Oto. I know it's not fair, but I feel like work stole her away from me."
s3-9," I know you feel that way, but it's not true. Oto loved you more than anything in the world. She was just so passionate about her work, and she wanted to make a difference in the world."
s3-10," I know, but I still feel like I missed out on something. Like I didn't get enough time with her."
s3-11,"I can't imagine what you're going through. But I want you to know that I'm here for you. If you ever need to talk, I'm listening."
s3-13,"So, tell me more about yourself."
s3-14,"Well, I'm originally from Japan. I came to the US to study AI at Stanford. After I graduated, I got a job at Next Infinity Lab, where I met Oto."
s3-16, What was she like? I mean at work
s3-17,"She was brilliant, kind, and passionate. She had a way of making everyone feel seen and heard."
s3-18, I miss her so much.
s3-19,Me too.
s3-21,I'm glad you were a part of her life.
s3-22,Me too.
s4-1,Misaki Watari opens the door for everyone.
s4-6,"The conference hall is packed with people, all eager to learn about Oto's research. Koji and the AI bot AINA walk up to the podium and take their places."
s4-7,"Koji: Good morning, everyone. I'm Koji, and I'm here today to talk to you about the groundbreaking research of my late colleague, Oto Kafuku."
s4-9,The audience listen carefully.
s4-11,"Koji (cont'd): Oto was a brilliant scientist and a passionate advocate for the responsible development of artificial intelligence. She believed that AI has the potential to make the world a better place, but only if it is used wisely."
s4-14,"Yusuke Kafuku then goes up to the stage to continue to present Oto's research, which focuses on developing AI that is more human-like and empathetic."
s4-15,"He explains how Oto's work has the potential to revolutionize the way we interact with AI, and how it could be used to improve our lives in many different ways."
s4-18,"After the conference, Yusuke Kafuku approaches Koji."
s4-19 ,Yusuke Kafuku: Thank you for sharing Oto's work with the world. She would be so proud. Koji: You're welcome. I'm just glad that people were able to see her brilliance. 
s4-20,Yusuke Kafuku: I'm so lucky to have known her. Koji: Me too. They laugh. 
s5-4,You're always working. You never have time for me.
s5-5,I'm doing this for us. For our future.
s5-6,I don't care about the future. I want you now.
s5-7,I'm here now. But I need to do this work.
s5-9,"Don't go, you're more in love with your work than you are with me."
s5-10,That's not true.
s5-12,"That's not what I feel, and I'm tired of it."
s5-13,"Stop, you're hurting me!"
s5-15,"Oh my God, Oto."
s5-16,"I'm so sorry, Oto. I didn't mean to hurt you."
s5-17,"I love you, Oto."
s5-18,What have I done?
s5-20,You're the one who killed her.
s5-21,I'm so sorry.
s5-22,I'm gonna destroy you
s5-23,"No, I can't do this."
